game_id,genre
battletoads-in-battlemaniacs,Platform
bazooka-blitzkrieg,Shooters
beauty-and-the-beast,Platform
beavis-and-butt-head,Adventure
bebes-kids,Action
beethoven-the-ultimate-canine-caper,Platform
benkei-gaiden-suna-no-shou,RPG
best-of-the-best-championship-karate,Fighting
big-sky-trooper,Platform
biker-mice-from-mars,Racing
bill-laimbeers-combat-basketball,Sports
bill-walsh-college-football,Sports
bing-bing-bingo,Simulation
bio-metal,Shooters
bioworm,Puzzle
bishin-densetsu-zoku,Racing
bishoujo-janshi-suchie-pai,Puzzle
bishoujo-senshi-sailor-moon,RPG
bishoujo-senshi-sailor-moon-another-story,RPG
bishoujo-senshi-sailor-moon-r,Fighting
bishoujo-senshi-sailor-moon-s-juugai-rantou-shuyaku-soudatsusen,Fighting
bishoujo-senshi-sailor-moon-s-kondo-wa-puzzle-de-oshioki-yo,Puzzle
bishoujo-senshi-sailor-moon-s-kurukkurin,Fighting
bishoujo-senshi-sailor-moon-super-s-fuwa-fuwa-panic,Puzzle
bishoujo-senshi-sailor-moon-super-s-zenin-sanka-shuyaku-soudatsusen,Fighting
bishoujo-wrestler-retsuden-blizzard-yuki-rannyuu,Fighting
blazeon-the-bio-cyborg-challenge,Shooters
block-kuzushi,Platform
blues-brothers-the,Platform
bob,Platform
bobbys-world,Platform
bomberman-b-daman,Action
bonkers,Platform
boogerman-a-pick-and-flick-adventure,Platform
bouncing-ball-trainer,Action
bounty-sword,RPG
boxing-legends-of-the-ring-[chavez-ii],Sports
brain-lord,RPG
brainies-the,Platform
bram-stokers-dracula,Platform
brandish,Action
brandish-2-the-planet-buster,RPG
brawl-brothers,Fighting
breakthru,Shooters
breath-of-fire,RPG
breath-of-fire-2,RPG
brett-hull-hockey,Sports
brett-hull-hockey-95,Simulation
bronkie-the-bronchiasaurus,Platform
brunswick-world-tournament-of-champions,Sports
brutal-paws-of-fury,Fighting
bs-bdash,Puzzle
bs-busters-digital-magazine,Action
bs-dan-dan-belt-conveyor-milk-no-maki,Platform
bs-do-re-mi,Platform
bs-dragon-quest,RPG
bs-nichibutsu-mahjong,Strategy
bs-nintama-rantarou-2,Action
bs-nintendo-hp-5-17,Simulation
bs-nintendo-hp-5-31,Simulation
bs-zelda,Adventure
bubsy-ii,Platform
bubsy-in-claws-encounters-of-the-furred-kind,Platform
bugs-bunny-in-rabbit-rampage,Platform
bugs-life-a,Platform
bulls-vs-blazers-and-the-nba-playoffs,Sports
burai-hachigyoku-no-yuushi-densetsu,RPG
bushi-seiryuuden-futari-no-yuusha,RPG
bust-a-move,Puzzle
cacoma-knight-in-bizyland,Platform
cal-ripken-jr-baseball,Sports
cannon-fodder,Shooters
cannondale-cup,Racing
capcoms-mvp-football,Sports
capcoms-soccer-shootout,Sports
captain-america-and-the-avengers,Fighting
captain-commando,Fighting
captain-novolin,Platform
captain-tsubasa-iii-koutei-no-chousen,Sports
captain-tsubasa-iv-pro-no-rival-tachi,Sports
captain-tsubasa-j-the-way-to-world-youth,Sports
captain-tsubasa-v-hasha-no-shougou-champion,Sports
caravan-shooting-collection,Shooters
carrier-aces,Simulation
casper,Action
casper-1997,Adventure
castlevania-dracula-x-[castlevania-vampires-kiss],Platform
cb-chara-wars-ushinawareta-gag,Fighting
champions-world-class-soccer,Sports
championship-pool,Sports
championship-soccer-94,Sports
chaos-seed-feng-shui-kairouki,RPG
cheap-de-gorgeous,Platform
chester-cheetah-too-cool-to-fool,Platform
chester-cheetah-wild-wild-quest,Platform
chinhai,Puzzle
choplifter-iii-rescue-survive,Shooters
chou-aniki-bakuretsu-rantou-hen,Fighting
chou-genjin-2,Platform
chou-mahou-tairiku-wozz,RPG
choujikuu-yousai-macross-scrambled-valkyrie,Shooters
christmas-craze,Platform
christmas-demo,Action
chrono-trigger,RPG
chrono-trigger-1995,RPG
chuck-rock,Platform
classic-road,Racing
classic-road-ii,Racing
clay-fighter,Fighting
cliffhanger,Fighting
clock-tower,Adventure
clockworks,Platform
clue,Strategy
college-football-usa-97-the-road-to-new-orleans,Sports
college-slam,Sports
columns,Puzzle
combatribes-the,Fighting
computer-nouryoku-kaiseki-ultra-baken,Racing
congo-the-movie-the-secret-of-zinj,Fighting
congos-caper,Action
contra-iii-the-alien-wars,Action
controller-test-cartridge,Action
conveni-wars-barcode-battler-senki-super-senshi-shutsugeki-seyo,Strategy
cool-spot,Platform
cool-world,Platform
corn-buster,Platform
coron-land,Platform
cosmo-gang-the-puzzle,Puzzle
cosmo-gang-the-video,Shooters
cosmo-police-galivan-ii-arrow-of-justice,Fighting
crayon-shin-chan-2-daimaou-no-gyakushuu,Platform
crayon-shin-chan-arashi-wo-yobu-enji,Action
crayon-shin-chan-nagagutsu-dobon,Adventure
crystal-beans-from-dungeon-explorer,RPG
cu-on-pa-sfc,Puzzle
cute-angela-great-journey,Platform
cutthroat-island,Platform
cyber-knight,RPG
cyber-knight-ii-chikyuu-teikoku-no-yabou,RPG
cyber-spin,Racing
cybernator,Shooters
cyborg-009,Action
d-force,Shooters
daffy-duck-the-marvin-missions,Platform
daibakushou-jinsei-gekijou,RPG
daikaijuu-monogatari,RPG
daikaijuu-monogatari-2,RPG
daisenryaku-expert,Strategy
daisenryaku-expert-wwii-war-in-europe,Strategy
darius-twin,Shooters
dark-half,Adventure
dark-kingdom,Action
dark-law-meaning-of-death,RPG
daruma-doujou,Puzzle
date-kimiko-no-virtual-tennis,Sports
david-cranes-amazing-tennis,Sports
daze-before-christmas,Platform
deae-tonosama-appare-ichiban,Action
dear-boys,Sports
death-and-return-of-superman-the,Action
death-brade,Fighting
dekitate-high-school,RPG
demolition-man,Action
demons-crest,Platform
dennis-the-menace,Platform
der-langrisser,Strategy
derby-jockey-2,Simulation
derby-jockey-kishou-he-no-michi,Racing
desert-strike-return-to-the-gulf,Shooters
dig-spike-volleyball,Sports
dino-dinis-soccer,Sports
dinocity,Platform
dirt-racer,Racing
dirt-trax-fx,Racing
do-re-mi-fantasy-milon-no-doki-doki-daibouken,Platform
dokapon-3-2-1-arashi-wo-yobu-yuujou,RPG
dolucky-no-aleague-soccer,Sports
dolucky-no-kusa-yakyu,Sports
dolucky-no-puzzle-tour-94,Puzzle
donald-duck-mahou-no-boushi,Platform
donkey-kong,Platform
donkey-kong-country,Platform
donkey-kong-country-2-diddys-kong-quest,Platform
donkey-kong-country-3-dixie-kongs-double-trouble,Platform
doom,Shooters
doom-troopers-the-mutant-chronicles,Action
doomsday-warrior,Fighting
doraemon-2-nobita-no-toys-land-daibouken,Platform
doraemon-3-nobita-to-toki-no-hougyoku,Platform
doraemon-4-nobita-to-tsuki-no-oukoku,Platform
doraemon-nobita-to-yousei-no-kuni,Platform
dorque-and-imp,Platform
dossun-ganseki-battle,Puzzle
double-dragon-v-the-shadow-falls,Fighting
doukyuusei-2,Adventure
down-the-world-mervils-ambition,RPG
dragon-ball-z-chou-gokuu-den-kakusei-hen,RPG
dragon-ball-z-chou-gokuu-den-totsugeki-hen,RPG
dragon-ball-z-hyper-dimension,Fighting
dragon-ball-z-rpg-super-saiya-densetsu,Fighting
dragon-ball-z-super-butouden,Fighting
dragon-ball-z-super-butouden-2,Fighting
dragon-ball-z-super-butouden-3,Fighting
dragon-knight-4,Strategy
dragon-quest-i-ii,RPG
dragon-quest-iii-and-into-the-legend,RPG
dragon-quest-v-hand-of-the-heavenly-bride,RPG
dragon-quest-vi-realms-of-reverie,RPG
dragon-slayer-eiyuu-densetsu,RPG
dragon-slayer-eiyuu-densetsu-ii,RPG
dragon-the-bruce-lee-story,Fighting
dragon-view,RPG
dragons-earth,RPG
dragons-lair,Platform
drakkhen,RPG
dream-basketball-dunk-hoop,Sports
dream-tv,Platform
drift-king-shutokou-battle-2,Racing
dual-orb-ii,RPG
dual-orb-seireiju-densetsu,RPG
dun-quest-majin-fuuin-no-densetsu,RPG
dungeon-master,RPG
dynamaite-the-lasvegas,RPG
dynamitracer,RPG
earth-defense-force,Shooters
earth-light,Shooters
earth-light-luna-strike,Strategy
earthworm-jim,Platform
earthworm-jim-2,Action
edo-no-kiba,Action
eek-the-cat,Platform
eien-no-filena,RPG
elfaria-a-fantastic-theater,RPG
elfaria-ii-the-quest-of-the-meld,RPG
elite-soccer,Sports
emerald-dragon,RPG
emmitt-smith-football,Sports
energy-breaker,RPG
equinox,Adventure
esparks-ijikuu-kara-no-raihousha,RPG
espn-baseball-tonight,Sports
espn-national-hockey-night,Sports
espn-speed-world,Racing
espn-sunday-night-nfl,Simulation
eurit,Action
evo-search-for-eden,Action
excitebike-bun-bun-mario-battle-stadium,Racing
extra-innings,Sports
f-1-grand-prix,Racing
f-1-grand-prix-part-ii,Racing
f-1-grand-prix-part-iii,Racing
f-1-roc-ii-race-of-champions,Racing
f-1-roc-race-of-champions,Racing
f-zero,Racing
f1-pole-position,Racing
f1-pole-position-2,Racing
f1-world-championship-edition,Racing
faceball-2000,Shooters
famicom-tantei-club-2-ushiro-ni-tatsu-shoujo,Adventure
family-dog,Platform
family-feud,Puzzle
farland-story,RPG
farland-story-2,RPG
fatal-fury,Fighting
fatal-fury-2,Fighting
fatal-fury-special,Fighting
fifa-soccer-96,Sports
fifa-soccer-97,Sports
fifa-soccer-97-1996,Sports
fifa-soccer-98-road-to-world-cup,Sports
fighters-history,Fighting
fighters-history-mizoguchi-kiki-ippatsu,Fighting
final-fantasy-iv,RPG
final-fantasy-mystic-quest-[mystic-quest-legend],RPG
final-fantasy-v,RPG
final-fantasy-vi,RPG
final-fight,Action
final-fight-2,Fighting
final-fight-3,Fighting
final-stretch,Racing
finalset,Sports
fire-emblem-monshou-no-nazo,Strategy
fire-emblem-seisen-no-keifu,Strategy
fire-emblem-thracia-776,Strategy
fire-pro-joshi-all-star-dream-slam,Simulation
firearm,Shooters
firemen-the,Action
firepower-2000,Shooters
firestriker,Action
fireteam-rogue,Platform
first-queen-ornic-senki,RPG
first-samurai,Action
flashback-the-quest-for-identity,Platform
flintstones-the,Platform
flintstones-the-treasure-of-sierra-madrock,Platform
flying-hero-bugyuruu-no-daibouken,Shooters
football-fury,Sports
foreman-for-real,Fighting
frantic-flea,Platform
frogger,Platform
frognes,Platform
front-mission,Strategy
front-mission-gun-hazard,Shooters
full-throttle-all-american-racing,Racing
fun-n-games,Action
fushigi-no-dungeon-torneko-no-daibouken,RPG
gakkou-de-atta-kowai-hanashi,Adventure
gal-kan-bazooka-dai-5-kan,Racing
galaxy-robo,Action
galaxy-wars,Shooters
gamars-copier,Simulation
gamble-hourouki,Shooters
gambler-jiko-chuushinha-2-dorapon-quest,Puzzle
game-genie,Action
game-no-tetsujin-the-shanghai,Puzzle
gamera-gyaos-gekimetsu-sakusen,Shooters
gan-gan-ganchan,Platform
ganbare-daiku-no-gen-san,Platform
ganbare-goemon-2-kiteretsu-shougun-magginesu,Action
ganbare-goemon-3-shishi-juurokubee-no-karakuri-manjigatame,Action
ganbare-goemon-4-kirakira-douchuu-boku-ga-dancer-ni-natta-riyuu,Action
ganso-pachinko-ou,Simulation
garry-kitchens-super-battletank-war-in-the-gulf,Simulation
gd-leen,RPG
gegege-no-kitaro-fukkatsu-tenma-daiou,Action
gekisou-sentai-car-rangers-zenkai-racer-senshi,Platform
gekitotsu-dangan-jidousha-kessen-battle-mobile,Shooters
gekitou-burning-prowrestling,Fighting
gemfire,Strategy
genghis-khan-ii-clan-of-the-grey-wolf,Strategy
genjuu-ryodan,Strategy
genocide-2,Shooters
george-foremans-ko-boxing,Sports
get-in-the-hole,Sports
getsumen-no-anubis,Adventure
ghost-chaser-densei,Fighting
ghost-sweeper-mikami-joreishi-wa-nice-body,Action
ghoul-patrol,Action
ginga-eiyuu-densetsu,Strategy
ginga-sengoku-gunyuuden-rai,Strategy
gionbana,RPG
go-go-ackman,Platform
go-go-ackman-2,Platform
go-go-ackman-3,Platform
go-go-dodge-league,Sports
goal-[super-goal-],Sports
god-mezameyo-to-yobu-koe-ha-kikoe,Action
gods,Platform
godzilla-kaijuu-daikessen,Fighting
gokinjo-bouken-tai,RPG
gokujou-parodius,Shooters
golf-daisuki-ob-club,Sports
gon,Platform
goods-press-gatsu-gou-3,RPG
goods-press-gatsu-gou-7,RPG
goof-troop,Action
gourmet-sentai-bara-yarou,Fighting
gp-1,Racing
gp-1-part-ii,Racing
gradius-iii,Shooters
granhistoria-genshi-sekaiki,RPG
great-battle-gaiden-2-the-matsuri-da-wasshoi,Puzzle
great-battle-ii-the-last-fighter-twin,Shooters
great-battle-iii-the,Action
great-battle-iv-the,Strategy
great-battle-v-the,Action
great-circus-mystery-starring-mickey-minnie-the,Platform
gt-racing,Racing
gunforce,Shooters
gunple-strange-world-gunmans-proof,Shooters
habu-meijin-no-omoshiro-shougi,Strategy
hagane-the-final-conflict,Action
haisei-mahjong-ryouga,Puzzle
hajimari-no-mori,RPG
hakunetsu-professional-baseball-94-ganba-league-3,Sports
hakunetsu-professional-baseball-ganba-league-93,Sports
hals-hole-in-one-golf,Sports
hameln-no-violin-hiki,Platform
hana-no-keiji-kumo-no-kanata-ni,Fighting
hanafuda-ou,Strategy
hanjuku-eiyuu-aa-sekai-yo-hanjuku-nare,RPG
hanna-barberas-turbo-toons,Platform
hardball-iii,Sports
harleys-humongous-adventure,Platform
harvest-moon,Simulation
hashire-hebereke,Platform
hat-trick-hero-2,Sports
hatayama-hacchi-no-pro-yakyuu-news-jitsumeiban,Sports
hayazashi-nidan-morita-shougi,Strategy
head-on-soccer,Sports
hebereke-no-oishii-puzzle-wa-irimasen-ka,Platform
hebereke-no-popun,Platform
heberekes-popoitto,Puzzle
heian-fuunden-the,RPG
heisei-gunjin-shougi,Sports
heisei-inu-monogatari-bow-pop-n-smash,Platform
heisei-shin-onigashima,Adventure
herakles-no-eikou-iii-kamigami-no-chinmoku,RPG
herakles-no-eikou-iv-kamigami-kara-no-okurimono,Adventure
hercules,Action
hero-senki-project-olympus,RPG
hi-no-ouji-yamato-takeru,RPG
hiouden-mamono-tachi-to-no-chikai,RPG
hissatsu-pachinko-collection,Action
hisshou-777-fighter-ii-pachi-slot-hi-jouhou,Simulation
hisshou-777-fighter-iii-kokuryuuou-no-fukkatsu,Fighting
hisshou-777-fighter-pachi-slot-ryuuguu-densetsu,Simulation
hisshou-pachi-slot-fan,Simulation
hit-the-ice,Sports
hokuto-no-ken-5-tenma-ryuuseiden-ai-zesshou,Fighting
hokuto-no-ken-6-gekitou-denshouken-haou-he-no-michi,Fighting
hokuto-no-ken-7-seiken-retsuden-denshousha-he-no-michi,Fighting
holy-umbrella-dondera-no-mubou,Platform
home-alone,Action
home-alone-2-lost-in-new-york,Action
home-improvement-power-tool-pursuit,Platform
hong-kong-97,Shooters
honkaku-mahjong-tetsuman,Puzzle
honkaku-shougi-fuuunji-ryuuou,Strategy
honkakuha-igo-gosei,Strategy
honkakuha-taikyoku-shougi-shougi-club,Strategy
honke-hanafuda,Puzzle
honke-sankyo-fever-jikki-simulation-2,Simulation
honke-sankyo-fever-jikki-simulation-3,Simulation
honoo-no-toukyuuji-dodge-danpei,Sports
hook,Platform
hourai-gakuen-no-bouken-tenkousei-scramble,Platform
human-grand-prix-iii-f1-triple-battle,Racing
human-grand-prix-iv-f1-dream-battle,Racing
humans-the,Platform
hunchback-of-notre-dame,Platform
hungry-dinosaurs,Platform
hunt-for-red-october-the,Simulation
hurricanes,Platform
hurricanes-trainer,Platform
hyper-iria,Platform
hyper-v-ball,Sports
hyperzone,Shooters
hysteria,Shooters
idea-no-hi,RPG
ignition-factor-the,Platform
igo-club,Strategy
ihatov-monogatari,Adventure
illusion-of-gaia-[illusion-of-time],RPG
illvanian-no-shiro,RPG
imperium,Shooters
inazuma-serve-da-super-beach-volley,Sports
incantation,Platform
incredible-hulk-the,Action
indiana-jones-greatest-adventures,Platform
inindo-way-of-the-ninja,RPG
inspector-gadget,Platform
international-superstar-soccer,Sports
international-superstar-soccer-deluxe,Sports
international-tennis-tour,Sports
ippatsu-gyakuten-keiba-keirin-kyoutei,Racing
iron-commando-kotetsu-no-senshi,Action
itadaki-street-2-neon-sign-ha-barairo-ni,Simulation
itchy-scratchy-game-the,Platform
itou-hatasu-rokudan-no-shougi-doujou,Strategy
izzys-quest-for-the-olympic-rings,Platform
jack-nicklaus-golf,Sports
jaleco-rally-big-run-the-supreme-4wd-challenge,Racing
james-pond-3-operation-starfish,Platform
jammes,Platform
jammit,Sports
janyuuki-gokuu-randa,RPG
jelly-boy,Platform
jelly-boy-2,Platform
jeopardy,Puzzle
jetsons-the-invasion-of-the-planet-pirates,Platform
jikkyou-oshaberi-parodius-forever-with-me,Shooters
jikkyou-powerful-pro-yakyuu-3,Sports
jikkyou-powerful-pro-yakyuu-94,Sports
jim-lees-wild-cats-covert-action-teams,Action
jim-power-the-lost-dimension-in-3d,Platform
jimmy-connors-pro-tennis-tour,Sports
jissen-kyoutei,Racing
jissen-mahjong-shinan,Puzzle
jissen-pachi-slot-hisshouhou,Simulation
jissen-pachi-slot-hisshouhou-2,Simulation
jissen-pachi-slot-hisshouhou-classic,Simulation
jissen-pachi-slot-hisshouhou-twin,Simulation
jissen-pachi-slot-hisshouhou-twin-2,Simulation
jissen-pachi-slot-hisshouhou-yamasa-densetsu,Simulation
jissen-pachinko-hisshouhou-2,Simulation
jleague-excite-stage-95,Sports
jleague-soccer-prime-goal,Sports
jleague-soccer-prime-goal-2,Sports
jleague-super-soccer-95-jikkyou-stadium,Sports
joe-mac-2-lost-in-the-tropics,Platform
joe-mac-caveman-ninja,Platform
john-madden-football,Sports
john-madden-football-93-1992,Sports
jojo-no-kimyou-na-bouken,Action
judge-dredd,Shooters
jumpin-derby,Sports
jungle-book-the,Platform
jungle-no-ouja-tar-chan-sekai-manyuu-dai-kakutou-no-maki,Fighting
jungle-strike,Shooters
jungle-wars-2-kodai-mahou-atimos-no-nazo,Simulation
jurassic-park,Adventure
jurassic-park-part-2-the-chaos-continues,Action
justice-league-task-force,Fighting
jutei-senki,Strategy
jwp-joshi-pro-wres-pure-wrestle-queens,Fighting
ka-blooey,Puzzle
kabuki-chou-reach-mahjong-toupuusen,Puzzle
kabuki-rocks,RPG
kaite-tsukutte-asoberu-dezaemon,Shooters
kaizou-chounin-shubibinman-zero,Action
kakinoki-shougi,Strategy
kamaitachi-no-yoru,Adventure
kamen-rider,Action
kamen-rider-sd-shutsugeki-rider-machine,Action
katou-hifumi-kudan-shougi-club,Strategy
kats-run-zen-nihon-k-car-senshuken,Racing
kawa-no-nushi-tsuri-2,Simulation
kawasaki-carribean-challenge,Racing
kawasaki-superbike-challenge,Racing
keeper,Fighting
keiba-eight-special-2,Simulation
keiba-yosou-baken-renkinjutsu,Simulation
ken-griffey-jr-presents-major-league-baseball,Sports
ken-griffey-jrs-winning-run,Sports
kendo-rage,Action
kenyuu-densetsu-yaiba,RPG
kero-kero-keroppi-no-bouken-nikki-nemureru-mori-no-keroriinu,Platform
kevin-keegans-player-manager,Sports
kick-off,Sports
kick-off-3-european-challenge,Sports
kid-klown-in-crazy-chase,Platform
kidou-butouden-g-gundam,Fighting
kidou-keisatsu-patlabor,Action
kidou-senshi-gundam-cross-dimension-0079,Strategy
kidou-senshi-gundam-f91-formula-senki-0122,RPG
kidou-senshi-v-gundam,Shooters
kidou-senshi-z-gundam-away-to-the-newtype,Strategy
kikou-keisatsu-metal-jack,Action
kikuni-masahiko-no-jantoushi-dora-ou,Shooters
killer-instinct,Fighting
kindai-mahjong-special,Puzzle
king-arthur-the-knights-of-justice,Adventure
king-arthurs-world,Platform
king-of-dragons-the-capcom,Action
king-of-rally-the,Racing
king-of-the-monsters,Fighting
king-of-the-monsters-2,Fighting
kingyo-chuuihou-tobidase-game-gakuen,Sports
kinnikuman-dirty-challenger,Fighting
kirby-no-kira-kira-kids,Puzzle
kirby-no-omocha-hako-baseball,Action
kirby-no-omocha-hako-hoshi-kuzushi,Platform
kirby-super-star-[kirbys-fun-pak],Platform
kirbys-avalanche-[kirbys-ghost-trap],Platform
kirbys-dream-course,Platform
kirbys-dream-land-3,Platform
kishin-douji-zenki-battle-raiden,Action
kishin-douji-zenki-denei-raibu,Action
kishin-douji-zenki-tenchi-meidou,RPG
kishin-kourinden-oni,RPG
knights-of-the-round,Action
koi-ha-balance-battle-of-lovers,Fighting
kouryuu-densetsu-villgust-kieta-shoujo,RPG
kouryuu-no-mimi,Fighting
koushien-2,Sports
koushien-3,Sports
koutetsu-no-kishi-3-gekitou-europe-sensen,Fighting
krustys-super-fun-house,Platform
kunio-kun-no-dodgeball-dayo-zenin-shuugou,Fighting
kunio-no-oden,Puzzle
kuusou-kagaku-sekai-gulliver-boy,Action
kyle-pettys-no-fear-racing,Racing
kyoraku-sanyo-maruhon-parlor-parlor-5,Fighting
kyoraku-sanyo-toyomaru-daiichi-maruhon-parlor-parlor-2,Action
kyoraku-sanyo-toyomaru-okumura-daiichi-maruhon-parlor-parlor-4-cr,Platform
kyoraku-sanyo-toyomaru-okumura-taiyou-parlor-parlor-3,Fighting
kyoraku-sanyo-toyomaru-parlor-parlor,Action
kyuuyaku-megami-tensei,RPG
lady-stalker-kako-kara-no-chousen,RPG
lagoon,Action
lamborghini-american-challenge,Racing
laplace-no-ma,RPG
last-action-hero,Action
last-battle-the,Fighting
last-bible-iii,RPG
lawnmower-man-the,Action
leading-company,Strategy
legend,RPG
legend-of-the-mystical-ninja-the,Action
legend-of-zelda-the-a-link-to-the-past,Action
lemmings,Puzzle
lemmings-2-the-tribes,Puzzle
lennus-ii-fuuin-no-shito,RPG
lester-the-unlikely,Platform
lethal-enforcers,Shooters
lethal-weapon,Platform
libble-rabble,Platform
liberty-or-death,Adventure
light-fantasy,RPG
light-fantasy-2,RPG
lion-king-the,Platform
little-magic,Platform
little-master-nijiiro-no-maseki,RPG
live-a-live,Fighting
lock-on,Simulation
lode-runner-twin-justy-to-liberty-no-daibouken,Platform
lodoss-tou-senki,RPG
logos-panic-goaisatsu,Puzzle
looney-tunes-b-ball,Sports
lord-monarch,Strategy
lord-of-darkness,RPG
love-quest,RPG
lucky-luke,Platform
lufia-ii-rise-of-the-sinistrals-[lufia],RPG
lufia-ii-rise-of-the-sinistrals-[lufia]-1994,RPG
lufia-the-fortress-of-doom,RPG
lupin-iii-densetsu-no-hihou-wo-oe,Platform
madden-97,Sports
madden-nfl-94,Simulation
madden-nfl-95,Sports
madden-nfl-96,Sports
madden-nfl-97,Simulation
madden-nfl-98,Sports
madou-monogatari-hanamaru-daiyouchienji,RPG
maerchen-adventure-cotton-100,Platform
magic-boy,Platform
magic-knight-rayearth,RPG
magic-sword,RPG
magical-drop,Puzzle
magical-drop-2,Puzzle
magical-pop-n,Platform
magical-quest-the-starring-mickey-mouse,Platform
magical-taruruuto-kun-magic-adventure,Platform
magna-braban-henreki-no-yuusha,RPG
mahjong-club,Puzzle
mahjong-gokuu-tenjiku,Puzzle
mahjong-taikai-ii,Puzzle
mahjong-touhaiden-the,Puzzle
mahou-poi-poi-poitto,Puzzle
mahoujin-guru-guru,RPG
mahoujin-guru-guru-2,RPG
majin-tensei,Strategy
majin-tensei-ii-spiral-nemesis,RPG
majuuou,Action
maka-maka,RPG
makeruna-makendou-2-kimero-youkai-souri-daijin,Fighting
manchester-united-championship-soccer,Sports
mario-is-missing,Puzzle
mario-paint,Simulation
mario-wario,Puzzle
marios-time-machine,Platform
mark-davis-the-fishing-master,Simulation
markos-magic-football,Platform
marvel-super-heroes-in-war-of-the-gems,Action
marvelous-mou-hitotsu-no-takarajima,RPG
mary-shelleys-frankenstein,Adventure
masakatsu-funaki-hybrid-wrestler,Fighting
masaki-shimono-no-fishing-to-bassing,Simulation
masaki-takemiya-kudan-no-igo-taishou,Strategy
mask-the,Platform
maten-densetsu-senritsu-no-ooparts,RPG
math-blaster-episode-one,Puzzle
matsumura-kunihiro-den-saikyou-no-rekishi-wo-nurikaeru,Platform
maui-mallard-in-cold-shadow,Platform
mazinger-z,Action
mecarobot-golf,Sports
mechwarrior,Simulation
mechwarrior-3050,Simulation
mega-lo-mania,Strategy
mega-man-7,Platform
mega-man-soccer,Sports
mega-man-x,Action
mega-man-x2,Platform
mega-man-x3,Action
melfand-stories,RPG
metal-combat-falcons-revenge,Shooters
metal-marines,Strategy
metal-max-2,RPG
metal-max-returns,RPG
metal-morph,Platform
metal-slader-glory-directors-cut,Adventure
metal-warriors,Action
