|      | game_id                                                                   |   segments |
|   96 | ancient-magic-bazoo-mahou-sekai                                           |        369 |
|   97 | lodoss-tou-senki                                                          |        369 |
|   98 | elfaria-ii-the-quest-of-the-meld                                          |        365 |
|   99 | nba-jam-tournament-edition                                                |        363 |
|  100 | power-of-the-hired                                                        |        362 |
|  101 | street-fighter-ii                                                         |        361 |
|  102 | lord-monarch                                                              |        360 |
|  103 | international-superstar-soccer                                            |        352 |
|  104 | kamaitachi-no-yoru                                                        |        350 |
|  105 | cannon-fodder                                                             |        348 |
|  106 | ys-v-ushinawareta-sunano-miyako-kefin                                     |        348 |
|  107 | romancing-saga-3                                                          |        342 |
|  108 | nba-jam                                                                   |        338 |
|  109 | world-league-soccer                                                       |        337 |
|  110 | oda-nobunaga-haou-no-gundan                                               |        331 |
|  111 | aerobiz                                                                   |        331 |
|  112 | powermonger                                                               |        327 |
|  113 | jungle-strike                                                             |        326 |
|  114 | urban-strike                                                              |        323 |
|  115 | jojo-no-kimyou-na-bouken                                                  |        318 |
|  116 | princess-minerva                                                          |        315 |
|  117 | poko-nyan-yume-no-daibouken                                               |        314 |
|  118 | popful-mail                                                               |        312 |
|  119 | international-superstar-soccer-deluxe                                     |        312 |
|  120 | nigel-mansells-world-championship-racing                                  |        310 |
|  121 | bulls-vs-blazers-and-the-nba-playoffs                                     |        310 |
|  122 | hercules                                                                  |        307 |
|  123 | dual-orb-seireiju-densetsu                                                |        303 |
|  124 | super-wild-card-dx-v1122                                                  |        302 |
|  125 | front-mission                                                             |        301 |
|  126 | humans-the                                                                |        299 |
|  127 | super-mad-champ                                                           |        298 |
|  128 | donkey-kong-country-2-diddys-kong-quest                                   |        295 |
|  129 | battle-submarine                                                          |        293 |
|  130 | super-mario-world                                                         |        293 |
|  131 | sd-f-1-grand-prix                                                         |        293 |
|  132 | wing-commander                                                            |        293 |
|  133 | drakkhen                                                                  |        292 |
|  134 | kyle-pettys-no-fear-racing                                                |        291 |
|  135 | capcoms-soccer-shootout                                                   |        290 |
|  136 | james-pond-3-operation-starfish                                           |        290 |
|  137 | bill-laimbeers-combat-basketball                                          |        288 |
|  138 | mega-man-7                                                                |        287 |
|  139 | f-1-roc-ii-race-of-champions                                              |        286 |
|  140 | kyuuyaku-megami-tensei                                                    |        286 |
|  141 | tales-of-phantasia                                                        |        286 |
|  142 | bahamut-lagoon                                                            |        284 |
|  143 | donkey-kong-country-3-dixie-kongs-double-trouble                          |        284 |
|  144 | bs-do-re-mi                                                               |        281 |
|  145 | add-eye-of-the-beholder                                                   |        280 |
|  146 | super-wagyan-land-2                                                       |        279 |
|  147 | f-1-grand-prix                                                            |        278 |
|  148 | laplace-no-ma                                                             |        278 |
|  149 | lemmings                                                                  |        278 |
|  150 | snoopy-concert                                                            |        277 |
|  151 | mario-wario                                                               |        277 |
|  152 | ryuukihei-dan-danzarubu                                                   |        273 |
|  153 | super-battleship                                                          |        273 |
|  154 | desert-strike-return-to-the-gulf                                          |        272 |
|  155 | front-mission-gun-hazard                                                  |        270 |
|  156 | aerobiz-supersonic                                                        |        269 |
|  157 | evo-search-for-eden                                                       |        268 |
|  158 | super-off-road                                                            |        268 |
|  159 | flashback-the-quest-for-identity                                          |        266 |
|  160 | flintstones-the                                                           |        266 |
|  161 | monstania                                                                 |        264 |
|  162 | super-mahjong                                                             |        262 |
|  163 | wwf-raw                                                                   |        260 |
|  164 | super-fire-pro-wrestling-x                                                |        259 |
|  165 | eien-no-filena                                                            |        258 |
|  166 | plok                                                                      |        257 |
|  167 | rockman-forte                                                             |        257 |
|  168 | wagyan-paradise                                                           |        256 |
|  169 | sd-gundam-gx                                                              |        252 |
|  170 | legend-of-zelda-the-a-link-to-the-past                                    |        251 |
|  171 | nobunagas-ambition                                                        |        249 |
|  172 | doraemon-2-nobita-no-toys-land-daibouken                                  |        248 |
|  173 | ace-wo-nerae                                                              |        246 |
|  174 | yuu-yuu-hakusho-tokubetsu-hen                                             |        246 |
|  175 | ganbare-goemon-3-shishi-juurokubee-no-karakuri-manjigatame                |        244 |
|  176 | asp-air-strike-patrol                                                     |        243 |
|  177 | othello-world                                                             |        242 |
|  178 | vs-collection                                                             |        242 |
|  179 | donkey-kong-country                                                       |        242 |
|  180 | ruin-arm                                                                  |        241 |
|  181 | phantom-2040                                                              |        240 |
|  182 | hero-senki-project-olympus                                                |        239 |
|  183 | ultima-the-false-prophet                                                  |        238 |
|  184 | doraemon-nobita-to-yousei-no-kuni                                         |        238 |
|  185 | troddlers                                                                 |        238 |
|  186 | dragon-slayer-eiyuu-densetsu                                              |        237 |
|  187 | mortal-kombat                                                             |        236 |
|  188 | super-mario-kart                                                          |        231 |
|  189 | sid-meiers-civilization                                                   |        231 |
|  190 | tetris-attack                                                             |        229 |
|  191 | brandish                                                                  |        228 |
|  192 | holy-umbrella-dondera-no-mubou                                            |        228 |
|  193 | bassins-black-bass                                                        |        228 |
|  194 | radical-psycho-machine-racing                                             |        227 |
|  195 | doraemon-3-nobita-to-toki-no-hougyoku                                     |        227 |
|  196 | terranigma                                                                |        227 |
|  197 | final-fantasy-vi                                                          |        227 |
|  198 | parodius-non-sense-fantasy                                                |        225 |
|  199 | popeye-ijiwaru-majo-seahag-no-maki                                        |        223 |
|  200 | do-re-mi-fantasy-milon-no-doki-doki-daibouken                             |        221 |
|  201 | uniracers                                                                 |        220 |
|  202 | dark-kingdom                                                              |        219 |
|  203 | akazukin-cha-cha                                                          |        218 |
|  204 | super-metroid                                                             |        217 |
|  205 | kabuki-rocks                                                              |        217 |
|  206 | street-hockey-95                                                          |        211 |
|  207 | super-famicom-wars                                                        |        211 |
|  208 | push-over                                                                 |        204 |
|  209 | fire-emblem-seisen-no-keifu                                               |        202 |
|  210 | shodai-nekketsu-kouha-kunio-kun                                           |        202 |
|  211 | kuusou-kagaku-sekai-gulliver-boy                                          |        201 |
|  212 | dino-dinis-soccer                                                         |        200 |
|  213 | super-gussun-oyoyo                                                        |        200 |
|  214 | super-loopz                                                               |        200 |
|  215 | lemmings-2-the-tribes                                                     |        198 |
|  216 | super-soukoban                                                            |        198 |
|  217 | yokoyama-mitsuteru-sangokushi                                             |        197 |
|  218 | arkanoid-doh-it-again                                                     |        196 |
|  219 | f-1-roc-race-of-champions                                                 |        195 |
|  220 | warlock                                                                   |        194 |
|  221 | dark-half                                                                 |        194 |
|  222 | ogre-battle-the-march-of-the-black-queen                                  |        194 |
|  223 | super-strike-eagle                                                        |        193 |
|  224 | hebereke-no-popun                                                         |        193 |
|  225 | otogirisou                                                                |        193 |
|  226 | ninja-gaiden-trilogy                                                      |        192 |
|  227 | star-fox-2                                                                |        191 |
|  228 | pocky-rocky-2                                                             |        190 |
|  229 | star-fox                                                                  |        190 |
|  230 | turn-and-burn-no-fly-zone                                                 |        190 |
|  231 | indiana-jones-greatest-adventures                                         |        190 |
|  232 | top-gear-3000                                                             |        189 |
|  233 | super-adventure-island-ii                                                 |        189 |
|  234 | monopoly-game-2-the                                                       |        188 |
|  235 | wizardry-v-heart-of-the-maelstrom                                         |        188 |
|  236 | scooby-doo-mystery                                                        |        186 |
|  237 | top-gear-2                                                                |        186 |
|  238 | kirby-super-star-[kirbys-fun-pak]                                         |        186 |
|  239 | micro-machines-2-turbo-tournament                                         |        185 |
|  240 | seaquest-dsv                                                              |        184 |
|  241 | modular-escape                                                            |        181 |
|  242 | lode-runner-twin-justy-to-liberty-no-daibouken                            |        180 |
|  243 | yoshis-cookie                                                             |        178 |
|  244 | captain-tsubasa-v-hasha-no-shougou-champion                               |        178 |
|  245 | final-fantasy-mystic-quest-[mystic-quest-legend]                          |        178 |
|  246 | secret-of-evermore                                                        |        177 |
|  247 | super-mario-rpg-the-legend-of-the-seven-stars                             |        176 |
|  248 | ys-iv-mask-of-the-sun                                                     |        176 |
|  249 | zombies-ate-my-neighbors                                                  |        176 |
|  250 | dragons-earth                                                             |        176 |
|  251 | markos-magic-football                                                     |        176 |
|  252 | final-fantasy-v                                                           |        176 |
|  253 | lufia-the-fortress-of-doom                                                |        175 |
|  254 | lagoon                                                                    |        175 |
|  255 | pieces                                                                    |        174 |
|  256 | radical-dreamers                                                          |        173 |
|  257 | ganbare-goemon-4-kirakira-douchuu-boku-ga-dancer-ni-natta-riyuu           |        173 |
|  258 | alcahest                                                                  |        172 |
|  259 | breath-of-fire                                                            |        171 |
|  260 | theme-park                                                                |        170 |
|  261 | super-formation-soccer-94-world-cup-final-data                            |        169 |
|  262 | mega-man-x2                                                               |        169 |
|  263 | asterix                                                                   |        168 |
|  264 | jleague-soccer-prime-goal                                                 |        168 |
|  265 | uncharted-waters                                                          |        167 |
|  266 | populous                                                                  |        167 |
|  267 | battle-robot-retsuden                                                     |        167 |
|  268 | king-arthur-the-knights-of-justice                                        |        166 |
|  269 | metal-marines                                                             |        166 |
|  270 | hit-the-ice                                                               |        165 |
|  271 | rap-basketball                                                            |        164 |
|  272 | hat-trick-hero-2                                                          |        164 |
|  273 | kirbys-dream-land-3                                                       |        162 |
|  274 | rock-n-roll-racing                                                        |        161 |
|  275 | mechwarrior                                                               |        161 |
|  276 | super-ghouls-n-ghosts                                                     |        160 |
|  277 | alien-3                                                                   |        159 |
|  278 | worms                                                                     |        158 |
|  279 | flintstones-the-treasure-of-sierra-madrock                                |        158 |
|  280 | wally-wo-sagase-ehon-no-kuni-no-daibouken                                 |        157 |
|  281 | magic-sword                                                               |        157 |
|  282 | super-nes-super-scope-6                                                   |        156 |
|  283 | gunple-strange-world-gunmans-proof                                        |        156 |
|  284 | uchuu-race-astro-go-go                                                    |        156 |
|  285 | hameln-no-violin-hiki                                                     |        155 |
|  286 | tengai-makyou-zero                                                        |        152 |
|  287 | donkey-kong                                                               |        152 |
|  288 | tiny-toon-adventures-wacky-sports-challenge                               |        151 |
|  289 | jelly-boy                                                                 |        151 |
|  290 | melfand-stories                                                           |        151 |
|  291 | q-bert-3                                                                  |        151 |
|  292 | super-soccer                                                              |        150 |
|  293 | earth-light                                                               |        150 |
|  294 | final-fantasy-iv                                                          |        149 |
|  295 | world-cup-98                                                              |        149 |
|  296 | 90-minutes-european-prime-goal                                            |        149 |
|  297 | gp-1-part-ii                                                              |        149 |
|  298 | soul-blazer                                                               |        149 |
|  299 | nba-all-star-challenge                                                    |        148 |
|  300 | motoko-chan-no-wonder-kitchen                                             |        148 |
|  301 | riddick-bowe-boxing                                                       |        147 |
|  302 | jelly-boy-2                                                               |        147 |
|  303 | little-magic                                                              |        147 |
|  304 | kawasaki-superbike-challenge                                              |        146 |
|  305 | manchester-united-championship-soccer                                     |        146 |
|  306 | star-trek-starfleet-academy-starship-bridge-simulator                     |        146 |
|  307 | actraiser                                                                 |        145 |
|  308 | solid-runner                                                              |        145 |
|  309 | cheap-de-gorgeous                                                         |        144 |
|  310 | power-drive                                                               |        144 |
|  311 | power-rangers-zeo-battle-racers                                           |        143 |
|  312 | jammes                                                                    |        142 |
|  313 | fire-emblem-thracia-776                                                   |        142 |
|  314 | judge-dredd                                                               |        142 |
|  315 | hana-no-keiji-kumo-no-kanata-ni                                           |        142 |
|  316 | ys-iii-wanderers-from-ys                                                  |        141 |
|  317 | mahoujin-guru-guru-2                                                      |        141 |
|  318 | firemen-the                                                               |        141 |
|  319 | super-nova                                                                |        139 |
|  320 | super-baseball-2020                                                       |        139 |
|  321 | kick-off-3-european-challenge                                             |        139 |
|  322 | battle-grand-prix                                                         |        139 |
|  323 | faceball-2000                                                             |        139 |
|  324 | wondrous-magic                                                            |        138 |
|  325 | magical-taruruuto-kun-magic-adventure                                     |        138 |
|  326 | spider-man-venom-separation-anxiety                                       |        138 |
|  327 | mega-man-x3                                                               |        138 |
|  328 | ultimate-fighter                                                          |        138 |
|  329 | pitfall-the-mayan-adventure                                               |        138 |
|  330 | mega-man-x                                                                |        137 |
|  331 | 7th-saga-the                                                              |        137 |
|  332 | rapjam-volume-one                                                         |        136 |
|  333 | championship-pool                                                         |        136 |
|  334 | pac-man-2-the-new-adventures                                              |        134 |
|  335 | micro-machines                                                            |        134 |
|  336 | saturday-night-slam-masters                                               |        133 |
|  337 | tetris-battle-gaiden                                                      |        133 |
|  338 | mighty-morphin-power-rangers                                              |        133 |
|  339 | actraiser-2                                                               |        131 |
|  340 | super-bomberman-2                                                         |        130 |
|  341 | battle-tycoon-flash-hiders-sfx                                            |        130 |
|  342 | sos                                                                       |        130 |
|  343 | wild-guns                                                                 |        130 |
|  344 | demons-crest                                                              |        128 |
|  345 | clock-tower                                                               |        128 |
|  346 | mary-shelleys-frankenstein                                                |        127 |
|  347 | super-ice-hockey                                                          |        126 |
|  348 | world-cup-usa-94                                                          |        126 |
|  349 | dragon-quest-iii-and-into-the-legend                                      |        126 |
|  350 | on-the-ball                                                               |        124 |
|  351 | doraemon-4-nobita-to-tsuki-no-oukoku                                      |        124 |
|  352 | st-andrews-eikou-to-rekishi-no-old-course                                 |        124 |
|  353 | universal-soldier                                                         |        123 |
|  354 | sugoi-hebereke                                                            |        122 |
|  355 | bubsy-ii                                                                  |        121 |
|  356 | spider-man-venom-maximum-carnage                                          |        121 |
|  357 | ganbare-goemon-2-kiteretsu-shougun-magginesu                              |        121 |
|  358 | spankys-quest                                                             |        121 |
|  359 | nage-libre-seijaku-no-suishin                                             |        120 |
|  360 | mechwarrior-3050                                                          |        120 |
|  361 | spider-man                                                                |        120 |
|  362 | home-improvement-power-tool-pursuit                                       |        120 |
|  363 | tick-the                                                                  |        119 |
|  364 | super-james-pond                                                          |        119 |
|  365 | star-trek-the-next-generation-futures-past                                |        119 |
|  366 | magical-pop-n                                                             |        118 |
|  367 | twinbee-rainbow-bell-adventure                                            |        118 |
|  368 | super-r-type                                                              |        118 |
|  369 | castlevania-dracula-x-[castlevania-vampires-kiss]                         |        117 |
|  370 | metal-warriors                                                            |        116 |
|  371 | bob                                                                       |        116 |
|  372 | paladins-quest                                                            |        116 |
|  373 | super-troll-islands                                                       |        115 |
|  374 | rendering-ranger-r2                                                       |        115 |
|  375 | ihatov-monogatari                                                         |        115 |
|  376 | genghis-khan-ii-clan-of-the-grey-wolf                                     |        115 |
|  377 | mohawk-headphone-jack                                                     |        115 |
|  378 | keeper                                                                    |        115 |
|  379 | 3-ninjas-kick-back                                                        |        114 |
|  380 | king-of-rally-the                                                         |        114 |
|  381 | prince-of-persia                                                          |        113 |
|  382 | super-bonk                                                                |        113 |
|  383 | doom                                                                      |        112 |
|  384 | majin-tensei                                                              |        112 |
|  385 | legend-of-the-mystical-ninja-the                                          |        112 |
|  386 | biker-mice-from-mars                                                      |        111 |
|  387 | space-football-one-on-one                                                 |        111 |
|  388 | casper-1997                                                               |        110 |
|  389 | kawasaki-carribean-challenge                                              |        110 |
|  390 | twisted-tales-of-spike-mcfang-the                                         |        109 |
|  391 | prehistorik-man                                                           |        109 |
|  392 | addams-family-values                                                      |        109 |
|  393 | jurassic-park                                                             |        109 |
|  394 | fushigi-no-dungeon-torneko-no-daibouken                                   |        109 |
|  395 | jack-nicklaus-golf                                                        |        107 |
|  396 | romancing-saga                                                            |        107 |
|  397 | gakkou-de-atta-kowai-hanashi                                              |        105 |
|  398 | gp-1                                                                      |        105 |
|  399 | secret-of-mana                                                            |        105 |
|  400 | sd-kidou-senshi-gundam-2                                                  |        104 |
|  401 | outlander                                                                 |        104 |
|  402 | animaniacs-1995                                                           |        104 |
|  403 | pocky-rocky                                                               |        104 |
|  404 | ignition-factor-the                                                       |        104 |
|  405 | great-battle-gaiden-2-the-matsuri-da-wasshoi                              |        102 |
|  406 | michael-jordan-chaos-in-the-windy-city                                    |        102 |
|  407 | maui-mallard-in-cold-shadow                                               |        102 |
|  408 | asterix-obelix                                                            |        102 |
|  409 | skuljagger-revolt-of-the-westicans                                        |        101 |
|  410 | marios-time-machine                                                       |        100 |
|  411 | 3x3-eyes-seima-kourinden                                                  |        100 |
|  412 | foreman-for-real                                                          |        100 |
|  413 | super-bomberman                                                           |        100 |
|  414 | sanrio-world-smash-ball                                                   |         99 |
|  415 | super-soccer-champ                                                        |         98 |
|  416 | peace-keepers-the                                                         |         98 |
|  417 | x-men-mutant-apocalypse                                                   |         98 |
|  418 | kid-klown-in-crazy-chase                                                  |         98 |
|  419 | shin-nekketsu-kouha-kunio-tachi-no-banka                                  |         98 |
|  420 | space-megaforce                                                           |         98 |
|  421 | sword-world-sfc                                                           |         98 |
|  422 | mickey-to-donald-magical-adventure-3                                      |         98 |
|  423 | tin-star                                                                  |         97 |
|  424 | mighty-morphin-power-rangers-the-movie                                    |         97 |
|  425 | aero-the-acro-bat-2                                                       |         97 |
|  426 | super-bomberman-3                                                         |         96 |
|  427 | true-lies                                                                 |         96 |
|  428 | kishin-douji-zenki-denei-raibu                                            |         96 |
|  429 | clue                                                                      |         95 |
|  430 | fifa-soccer-96                                                            |         95 |
|  431 | crystal-beans-from-dungeon-explorer                                       |         95 |
|  432 | death-and-return-of-superman-the                                          |         95 |
|  433 | david-cranes-amazing-tennis                                               |         95 |
|  434 | wwf-super-wrestlemania                                                    |         94 |
|  435 | last-battle-the                                                           |         94 |
|  436 | krustys-super-fun-house                                                   |         94 |
|  437 | george-foremans-ko-boxing                                                 |         94 |
|  438 | fire-emblem-monshou-no-nazo                                               |         94 |
|  439 | pirates-of-dark-water-the                                                 |         94 |
|  440 | wizard-of-oz-the                                                          |         94 |
|  441 | romance-of-the-three-kingdoms-ii                                          |         93 |
|  442 | brain-lord                                                                |         93 |
|  443 | sonic-blast-man                                                           |         93 |
|  444 | bubsy-in-claws-encounters-of-the-furred-kind                              |         93 |
|  445 | hagane-the-final-conflict                                                 |         93 |
|  446 | kawa-no-nushi-tsuri-2                                                     |         92 |
|  447 | small-soldiers                                                            |         92 |
|  448 | sunset-riders                                                             |         91 |
|  449 | great-battle-iv-the                                                       |         91 |
|  450 | great-battle-v-the                                                        |         91 |
|  451 | snes-test-program                                                         |         91 |
|  452 | jwp-joshi-pro-wres-pure-wrestle-queens                                    |         91 |
|  453 | firestriker                                                               |         90 |
|  454 | teenage-mutant-ninja-turtles-4-turtles-in-time                            |         90 |
|  455 | final-fight-3                                                             |         90 |
|  456 | mega-lo-mania                                                             |         90 |
|  457 | nice-de-shot                                                              |         89 |
|  458 | super-wagyan-land                                                         |         89 |
|  459 | simant                                                                    |         89 |
|  460 | kirbys-dream-course                                                       |         89 |
|  461 | pagemaster-the                                                            |         89 |
|  462 | pga-tour-96                                                               |         89 |
|  463 | shin-megami-tensei                                                        |         89 |
|  464 | super-rbi-baseball                                                        |         88 |
|  465 | young-merlin                                                              |         88 |
|  466 | lamborghini-american-challenge                                            |         88 |
|  467 | newman-haas-indycar-featuring-nigel-mansell                               |         88 |
|  468 | un-squadron                                                               |         88 |
|  469 | bust-a-move                                                               |         88 |
|  470 | mahoujin-guru-guru                                                        |         87 |
|  471 | congos-caper                                                              |         87 |
|  472 | gradius-iii                                                               |         87 |
|  473 | libble-rabble                                                             |         87 |
|  474 | frantic-flea                                                              |         86 |
|  475 | bishoujo-senshi-sailor-moon-s-kurukkurin                                  |         86 |
|  476 | soldiers-of-fortune                                                       |         86 |
|  477 | stargate                                                                  |         86 |
|  478 | bronkie-the-bronchiasaurus                                                |         86 |
|  479 | kamen-rider                                                               |         86 |
|  480 | eek-the-cat                                                               |         85 |
|  481 | toys                                                                      |         85 |
|  482 | shounen-ninja-sasuke                                                      |         85 |
|  483 | batman-forever                                                            |         85 |
|  484 | aero-the-acro-bat                                                         |         85 |
|  485 | deae-tonosama-appare-ichiban                                              |         85 |
|  486 | final-fight-2                                                             |         85 |
|  487 | shadow-the                                                                |         85 |
|  488 | might-and-magic-ii                                                        |         84 |
|  489 | addams-family-the                                                         |         84 |
|  490 | jurassic-park-part-2-the-chaos-continues                                  |         84 |
|  491 | super-castlevania-iv                                                      |         84 |
|  492 | kaizou-chounin-shubibinman-zero                                           |         83 |
|  493 | mr-tuff                                                                   |         83 |
|  494 | street-fighter-alpha-2                                                    |         83 |
|  495 | marvel-super-heroes-in-war-of-the-gems                                    |         83 |
|  496 | simearth-the-living-planet                                                |         83 |
|  497 | soreyuke-ebisumaru-karakuri-meiro-kieta-goemon-no-nazo                    |         83 |
|  498 | gon                                                                       |         82 |
|  499 | thomas-the-tank-engine-friends                                            |         82 |
|  500 | ultra-seven                                                               |         82 |
|  501 | seiken-densetsu-3                                                         |         82 |
|  502 | wolverine-adamantium-rage                                                 |         82 |
|  503 | classic-road                                                              |         82 |
|  504 | bram-stokers-dracula                                                      |         82 |
|  505 | madden-nfl-95                                                             |         82 |
|  506 | battletoads-in-battlemaniacs                                              |         81 |
|  507 | uncharted-waters-new-horizons                                             |         81 |
|  508 | r-type-iii                                                                |         81 |
|  509 | ninja-warriors-the-[ninja-warriors-the-new-generation]                    |         81 |
|  510 | top-gear                                                                  |         81 |
|  511 | pilotwings                                                                |         80 |
|  512 | stone-protectors                                                          |         80 |
|  513 | dungeon-master                                                            |         80 |
|  514 | wolfchild                                                                 |         80 |
|  515 | ball-bullet-gun                                                           |         80 |
|  516 | adventures-of-yogi-bear-[yogi-bears-cartoon-capers]                       |         80 |
|  517 | block-kuzushi                                                             |         79 |
|  518 | aretha                                                                    |         78 |
|  519 | super-baseball-simulator-1000                                             |         78 |
|  520 | bakukyuu-renpatsu-super-b-daman                                           |         78 |
|  521 | super-godzilla                                                            |         78 |
|  522 | addams-family-the-pugsleys-scavenger-hunt                                 |         78 |
|  523 | great-battle-iii-the                                                      |         78 |
|  524 | super-gussun-oyoyo-2                                                      |         77 |
|  525 | waterworld                                                                |         77 |
|  526 | aaahh-real-monsters                                                       |         77 |
|  527 | putty-squad                                                               |         77 |
|  528 | dokapon-3-2-1-arashi-wo-yobu-yuujou                                       |         77 |
|  529 | nfl-quarterback-club                                                      |         77 |
|  530 | super-widget                                                              |         76 |
|  531 | cosmo-police-galivan-ii-arrow-of-justice                                  |         76 |
|  532 | lock-on                                                                   |         76 |
|  533 | super-star-wars-3-return-of-the-jedi                                      |         76 |
|  534 | aoki-densetsu-shoot                                                       |         76 |
|  535 | kidou-senshi-v-gundam                                                     |         76 |
|  536 | super-james-pond-2                                                        |         75 |
|  537 | nangoku-shounen-papuwa-kun                                                |         75 |
|  538 | doukyuusei-2                                                              |         75 |
|  539 | knights-of-the-round                                                      |         75 |
|  540 | super-star-wars-2-the-empire-strikes-back                                 |         75 |
|  541 | sd-gundam-gnext                                                           |         75 |
|  542 | jim-lees-wild-cats-covert-action-teams                                    |         75 |
|  543 | mario-is-missing                                                          |         74 |
|  544 | earthworm-jim-2                                                           |         74 |
|  545 | brainies-the                                                              |         74 |
